instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderValueUSD
INJ-EUR,SPOT,INJ,EUR,,,,,,,1710993600000,,0.001,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,11.553,0.1002,11.529,7.4377,11.505,7.4532,11.9,12.047,11.337,11045.5156843,954.2932,11.408,11.692,1755694244921,1.16
JTO-EUR,SPOT,JTO,EUR,,,,,,,1715074800000,,0.001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,1.446,1.0058,1.458,58.813,1.452,59.056,1.452,1.46,1.403,639.6068579,443.8218,1.418,1.418,1755694244922,1.45
LDO-EUR,SPOT,LDO,EUR,,,,,,,1710392400000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,1.1376,18.3115,1.1421,75.0804,1.1394,75.2584,1.1338,1.1612,1.0879,2860.09073024,2550.4069,1.1161,1.0888,1755694243609,1.14
LINK-EUR,SPOT,LINK,EUR,,,,,,,1700539860000,,0.001,0.000001,0.1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,21.733,0.106134,21.737,1.184507,21.711,1.184507,20.888,21.733,20.099,47889.269413453,2300.448041,20.216,20.834,1755694245813,2.17
LTC-EUR,SPOT,LTC,EUR,,,,,,,1700539860000,,0.01,0.000001,0.01,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,98.56,0.430903,98.62,4.347466,98.58,0.334514,99.21,100,96.37,74096.7935105,755.20727,96.75,97.94,1755694244907,0.99
LUNC-EUR,SPOT,LUNC,EUR,,,,,,,1715076600000,,0.00000001,1,10000,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.00005035,228423,0.0000503,1704759,0.00005023,1707135,0.00005163,0.00005174,0.00004932,7961.60063149,158409398,0.00004958,0.00005035,1755694244710,0.50
MANA-EUR,SPOT,MANA,EUR,,,,,,,1710392100000,,0.0001,0.0001,10,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.2406,10.0862,0.2396,357.8857,0.239,358.7842,0.2439,0.2439,0.2347,841.54928303,3545.2849,0.2378,0.2378,1755694244814,2.41
MINA-EUR,SPOT,MINA,EUR,,,,,,,1710389400000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.1558,48.0287,0.1563,548.6207,0.156,549.6758,0.1592,0.1592,0.1549,263.5946624,1696.0791,0.156,0.1552,1755694244827,0.16
MKR-EUR,SPOT,MKR,EUR,,,,,,,1710387600000,,0.1,0.0000001,0.001,,99999999999,1000000,99999999999.0000000000000000,99999999999.0000000000000000,99999999999.0000000000000000,1000000,1405,0.0010209,1405.8,0.0609968,1403.5,0.0610968,1465.9,1472.7,1399.6,2728.3272678,1.9024692,1432.1,1438.9,1755694245619,1.41
OP-EUR,SPOT,OP,EUR,,,,,,,1710393900000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.604,1.0309,0.6072,141.221,0.6063,141.4306,0.62,0.621,0.5875,2598.09434208,4313.7759,0.5939,0.6002,1755694245121,0.60
SAND-EUR,SPOT,SAND,EUR,,,,,,,1710390300000,,0.0001,0.0001,10,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.2376,46.2963,0.2377,360.7464,0.2374,46.3352,0.2423,0.2445,0.2325,8347.1032669,35182.5984,0.2338,0.2378,1755694243172,2.38
SHIB-EUR,SPOT,SHIB,EUR,,,,,,,1700539860000,,0.000000001,1,50000,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.00001057,1857528,0.000010578,8106393,0.000010557,8122518,0.000010823,0.000010843,0.00001035,4209.753067066,400205417,0.000010421,0.00001053,1755694243530,0.53
SNX-EUR,SPOT,SNX,EUR,,,,,,,1710389700000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.5563,1.028,0.5561,154.1978,0.555,154.5034,0.573,0.5776,0.5397,149.1468653,267.4858,0.547,0.5599,1755694243609,0.56
STX-EUR,SPOT,STX,EUR,,,,,,,1710385200000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.5706,3.3721,0.568,150.9672,0.5671,151.2068,0.5841,0.5896,0.5521,684.70324557,1209.1057,0.5649,0.5731,1755694244827,0.57
SUI-EUR,SPOT,SUI,EUR,,,,,,,1715072400000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,2.9853,0.9269,2.988,86.0938,2.9864,94.7567,3.0716,3.0859,2.9332,204400.9271308,68229.9125,2.9389,2.9915,1755694245807,2.99
SUSHI-EUR,SPOT,SUSHI,EUR,,,,,,,1700049745000,,0.0001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,0.6569,20.4327,0.658,130.3182,0.6568,130.5563,0.6674,0.6674,0.6392,306.09612687,464.9795,0.6483,0.6539,1755694244815,0.66
