instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderSize,maxOrderSize,minOrderValue,maxOrderValue
ICX-USD,SPOT,ICX,USD,,,,,,,1743055500000,,0.00001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.125,10.019032,0.12676,2366.677185,0.12619,2377.367461,0.13069,0.13069,0.12418,45.69307868699,360.304682,0.12418,0.12744,1755693509320,,,,
ID-USD,SPOT,ID,USD,,,,,,,1742367000000,,0.0001,0.001,10,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.1656,90,0.1568,1913.265,0.1559,1924.31,0.1656,0.1656,0.1656,0,0,0.1656,0.1656,1755693510919,,,,
ILV-USD,SPOT,ILV,USD,,,,,,,1740031500000,,0.001,0.000001,0.01,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,15.401,1.281049,15.309,19.596315,15.243,19.681165,16.193,16.193,15.156,474.625001752,30.3135,15.303,15.795,1755693498112,,,,
IMX-USD,SPOT,IMX,USD,,,,,,,1744266000000,,0.0001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.5359,101.41346,0.542,553.505535,0.5392,1854.599406,0.5539,0.5539,0.5359,254.3846130352,472.815502,0.5359,0.5386,1755693508711,,,,
IOST-USD,SPOT,IOST,USD,,,,,,,1742367300000,,0.000001,0.000001,100,,999999999999,999999,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,999999,0.00364,5938.498747,0.003472,86405.529953,0.003456,86805.555555,0.00364,0.00364,0.00364,0,0,0.00364,0.00364,1755693509517,,,,
IOTA-USD,SPOT,IOTA,USD,,,,,,,1742367600000,,0.0001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.1934,591.985641,0.1962,1529.051987,0.1952,1536.885245,0.2027,0.2027,0.1916,28499.9994852188,145245.243782,0.1958,0.1981,1755693506511,,,,
IP-USD,SPOT,IP,USD,,,,,,,1740033900000,,0.0001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,5.6188,3.017,5.6737,52.875,5.6495,53.101,5.8153,5.8153,5.4808,4778.7461798,861.257,5.535,5.558,1755693508618,,,,
JOE-USD,SPOT,JOE,USD,,,,,,,1741847400000,,0.0001,0.000001,10,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.1572,10.430024,0.1561,1921.844971,0.1551,1934.235976,0.1572,0.1572,0.1572,0,0,0.1572,0.1572,1755693507217,,,,
JST-USD,SPOT,JST,USD,,,,,,,1738919700000,,0.00001,0.000001,100,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.03269,344.663579,0.03326,39085.989176,0.03306,9074.410163,0.03269,0.03269,0.03269,0,0,0.03269,0.03269,1755693486009,,,,
JTO-USD,SPOT,JTO,USD,,,,,,,1743661800000,,0.001,0.0001,1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,1.691,45.9,1.697,766.0574,1.69,177.5147,1.717,1.717,1.676,1077.6167136,642.5586,1.676,1.676,1755693510919,,,,
JUP-USD,SPOT,JUP,USD,,,,,,,1743662100000,,0.0001,0.001,10,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,0.4881,354.565,0.4904,2039.151,0.4881,614.628,0.4978,0.4999,0.4747,860.7248027,1771.008,0.4784,0.4849,1755693510314,,,,
KAITO-USD,SPOT,KAITO,USD,,,,,,,1740108900000,,0.0001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,1.0439,52.563,1.0442,8.621,1.0436,9.579,1.0764,1.0764,1.0254,1369.7796007,1311.12,1.031,1.0254,1755693508415,,,,
KAIA-USD,SPOT,KAIA,USD,,,,,,,1742368200000,,0.0001,0.01,10,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.1453,856.66,0.1457,2059.02,0.1453,347.32,0.1514,0.1514,0.1432,213.339743,1464.06,0.1436,0.1469,1755693503124,,,,
KDA-USD,SPOT,KDA,USD,,,,,,,1742368500000,,0.0001,0.000001,1,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,0.3826,291.280087,0.383,783.289817,0.3809,787.608296,0.3919,0.3919,0.377,114.1865746452,298.555454,0.3826,0.377,1755693508111,,,,
